Country,date,coicop,value,diff
AT,Jan-19,"Alcoholic beverages, tobacco and narcotics",0.0346882163613169,0.0884536892976282
AT,Jan-19,Clothing and footwear,-0.0120012765671509,0.0884536892976282
AT,Jan-19,Food and non-alcoholic beverages,0.0416927354172658,0.0884536892976282
AT,Jan-19,Housing (rentals and repairs),0.3536794112936076,0.0884536892976282
AT,Jan-19,Other,-0.3692534498935225,0.0884536892976282
AT,Jan-19,Transport,-0.0724359496013746,0.0884536892976282
AT,Jan-19,"Water, electricity, gas and other fuels",0.1120840022874862,0.0884536892976282
AT,Feb-19,"Alcoholic beverages, tobacco and narcotics",0.0310138074440156,0.1870678350173287
AT,Feb-19,Clothing and footwear,0.019708185993004,0.1870678350173287
AT,Feb-19,Food and non-alcoholic beverages,0.0372486095942725,0.1870678350173287
AT,Feb-19,Housing (rentals and repairs),0.354074069334235,0.1870678350173287
AT,Feb-19,Other,-0.2881152868528434,0.1870678350173287
AT,Feb-19,Transport,-0.1019540600828361,0.1870678350173287
AT,Feb-19,"Water, electricity, gas and other fuels",0.1350925095874815,0.1870678350173287
AT,Mar-19,"Alcoholic beverages, tobacco and narcotics",0.0245608145265483,0.1294365172655958
AT,Mar-19,Clothing and footwear,-0.0137918931895587,0.1294365172655958
AT,Mar-19,Food and non-alcoholic beverages,0.0549731965053885,0.1294365172655958
AT,Mar-19,Housing (rentals and repairs),0.3524270509303941,0.1294365172655958
AT,Mar-19,Other,-0.2624547916944679,0.1294365172655958
AT,Mar-19,Transport,-0.1705289748963463,0.1294365172655958
AT,Mar-19,"Water, electricity, gas and other fuels",0.1442511150836378,0.1294365172655958
AT,Apr-19,"Alcoholic beverages, tobacco and narcotics",0.0227149730601234,0.3141472610619491
AT,Apr-19,Clothing and footwear,0.0065119808340522,0.3141472610619491
AT,Apr-19,Food and non-alcoholic beverages,0.0431807215393205,0.3141472610619491
AT,Apr-19,Housing (rentals and repairs),0.3528224706118533,0.3141472610619491
AT,Apr-19,Other,-0.1363590880143009,0.3141472610619491
AT,Apr-19,Transport,-0.1021778936301307,0.3141472610619491
